session_id,timestamp,input_tokens,output_tokens,estimated_cost,cached
day26-test,2026-08-25T00:31:45.513322,322,13,3.87e-05,False
day26-test,2026-08-25T00:31:55.644327,0,0,0.0,True
day26-test,2026-08-25T00:35:24.831911,249,14,3.19e-05,False
day26-test,2026-08-25T00:35:30.118699,273,14,3.43e-05,False
day26-rate,2026-08-25T00:37:20.530272,0,0,0.0,True
day26-rate,2026-08-25T00:37:20.693869,0,0,0.0,True
day26-rate,2026-08-25T00:37:20.850549,0,0,0.0,True
day26-rate,2026-08-25T00:37:21.003469,0,0,0.0,True
day26-rate,2026-08-25T00:37:21.178111,0,0,0.0,True
day26-rate,2026-08-25T00:37:21.381394,0,0,0.0,True
day26-rate,2026-08-25T00:37:21.643087,0,0,0.0,True
day26-rate,2026-08-25T00:37:21.827097,0,0,0.0,True
day26-rate,2026-08-25T00:37:22.016176,0,0,0.0,True
day26-rate,2026-08-25T00:37:22.199027,0,0,0.0,True
day30-test,2026-08-30T14:34:10.776071,246,23,3.61e-05,False
day30-test,2026-08-30T14:34:22.938766,285,14,3.55e-05,False
day30-test,2026-08-30T14:34:30.011610,303,14,3.73e-05,False
day30-trace,2026-08-30T14:51:00.113443,249,17,3.34e-05,False
day30-trace,2026-08-30T14:52:29.864194,0,0,0.0,True
day30-v2,2026-08-30T15:04:26.283027,476,20,5.76e-05,False
day30-v3,2026-08-30T15:39:50.585040,493,24,6.13e-05,False
day30-v4,2026-08-30T15:54:25.164184,474,122,0.0001084,False
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:38:45.861145,296,14,3.66e-05,False
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:39:29.365804,543,73,9.08e-05,False
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:39:49.874884,656,11,7.11e-05,False
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:40:26.218316,523,27,6.58e-05,False
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:42:30.491818,420,17,5.05e-05,False
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:42:48.052476,657,23,7.72e-05,False
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:44:32.177496,0,0,0.0,True
c8383f9e-5d3e-4119-ab52-17c2fb5a1076,2026-08-31T03:45:02.606752,0,0,0.0,True
f314d15a-3da3-478b-8752-cf28a9a526d3,2026-08-31T23:34:11.289536,247,17,3.32e-05,False
f314d15a-3da3-478b-8752-cf28a9a526d3,2026-08-31T23:35:18.514253,505,46,7.35e-05,False
